"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",0.000368677818456183,0.000123464199669047,0.000236639716032341,0.423984635566263,0.000123464199669047,0.165340855504017,0.00112318126087814,0.000123464199669047,0.000217777129971792,0.000330952646335085,0.408026887759039
"2",0.138663946931103,0.00040353338600267,0.0002536982047021,0.461970809382407,0.000328615795352385,0.0002536982047021,0.00139619146211894,0.000216239409376958,0.000272427602364672,0.000272427602364672,0.395968412019506
"3",0.141056909512134,0.000279516267846789,0.000208012106304587,0.387975080149665,0.000150808777070826,0.000165109609379266,0.00482718094193082,0.00033671959708055,0.000222312938613027,7.93046155286238e-05,0.464699045484447
"4",0.00027710292118033,0.000177861409873886,0.00053229537882547,0.379308789318005,0.000149506692357759,0.000234570844906139,0.000461408585035153,0.000163684051115823,0.170958325009505,0.000291280279938393,0.447445175509257
"5",0.000651621565520811,0.000304790732259734,0.13886370862006,0.411270425577197,0.000275888162821311,0.000391498440575004,0.013917900937757,0.000478206148890273,0.000333693301698157,0.000275888162821311,0.433236378350399
"6",0.000686964302303408,0.000364262210118177,0.156202480894569,0.398390401079585,0.000391154051133613,0.000498721415195357,0.00778641033037849,0.00074074798433428,0.000418045892149049,0.000176019323010126,0.434344792517223
"7",0.000620923342578192,0.000555874230498572,0.000881119790896673,0.260752322548979,0.00107626712713553,0.000360726894259712,0.416740093315908,0.163959243774504,0.00101121801505591,0.000751021566737432,0.153291189393447
"8",0.000115461759065398,9.12697714516952e-05,0.0001396537466791,0.525383992821578,0.000151749740485951,0.000236421697133909,0.105556239773387,9.12697714516952e-05,0.0001396537466791,0.255449795027887,0.112644492144202
"9",0.000207955422375001,0.00108988685220633,0.00023551577955723,0.45291438249767,0.000428438279832834,0.00053867970856175,0.195417965344104,0.209501307864223,0.000400877922650605,0.000373317565468376,0.138891672763352
"10",0.000217953342953343,0.000300625300625301,0.000362629268879269,0.40917545995671,0.172671657046657,0.000651981120731121,0.28016587000962,0.00114801286676287,9.39454064454064e-05,0.00032129329004329,0.134890572390572
"11",0.000237222674913133,0.23122711552663,0.000147857968610241,0.522672232192254,0.000121048556719373,0.000380206204997762,0.103748361985554,0.000192540321761687,0.000121048556719373,7.63662035679265e-05,0.141075999808272
"12",0.000176038258981619,0.0011711434173916,0.000471880333103506,0.514215089412766,0.194275333616951,0.000283617195025941,0.148769443670202,0.000444985599092425,0.000202932992992699,0.000552564535136747,0.139436970968357
